,gas_status,fructose_status,diff,abs_diff
LAbrini_16065,372.5620984417567,31.41773430503417,341.1443641367225,341.1443641367225
LAbrini_06570,450.75808666174754,114.25811612499542,336.49997053675213,336.49997053675213
LAbrini_14165,331.4480684866958,36.68458153359937,294.7634869530964,294.7634869530964
LAbrini_16020,301.41894925685233,33.87705201271613,267.5418972441362,267.5418972441362
LAbrini_18335,349.02318539580057,102.61890476558472,246.40428063021585,246.40428063021585
LAbrini_19145,248.20142794411743,18.65600434834846,229.54542359576897,229.54542359576897
LAbrini_04795,249.8743535940047,32.93416761977563,216.94018597422908,216.94018597422908
LAbrini_12460,229.93610344422495,21.014208220939242,208.9218952232857,208.9218952232857
LAbrini_18385,253.43566617083945,46.203265327415934,207.23240084342353,207.23240084342353
LAbrini_00500,243.4119425687661,42.01438238781964,201.39756018094647,201.39756018094647
LAbrini_14160,221.94199802758763,24.34202605965648,197.59997196793114,197.59997196793114
LAbrini_03785,204.15189325142796,12.05147990234716,192.1004133490808,192.1004133490808
LAbrini_10395,227.15651749284007,38.50110562212087,188.6554118707192,188.6554118707192
LAbrini_05970,236.87610313556152,48.29800601249326,188.57809712306826,188.57809712306826
LAbrini_07865,260.1019164332351,73.2421605698163,186.8597558634188,186.8597558634188
LAbrini_18475,230.8985444795091,46.071199161533904,184.8273453179752,184.8273453179752
LAbrini_19850,214.69209166672312,30.161875582310284,184.53021608441284,184.53021608441284
LAbrini_01070,206.3916413619484,22.087613656656863,184.30402770529153,184.30402770529153
LAbrini_15440,221.08676905636622,38.31133445505081,182.7754346013154,182.7754346013154
LAbrini_09595,219.5331539178509,37.27857336262368,182.25458055522722,182.25458055522722
LAbrini_09710,265.26208323294145,89.14404171411924,176.11804151882222,176.11804151882222
LAbrini_14170,212.17300007912985,36.62091560159158,175.55208447753827,175.55208447753827
LAbrini_09540,231.63733916297693,56.67575112615796,174.96158803681897,174.96158803681897
LAbrini_19660,201.8066780426341,28.15039448456347,173.65628355807064,173.65628355807064
LAbrini_00060,216.13955937302345,44.74184771751221,171.39771165551124,171.39771165551124
LAbrini_00925,209.11477385052723,37.97740653972125,171.13736731080598,171.13736731080598
LAbrini_18695,208.58942471286932,41.820297035750805,166.76912767711852,166.76912767711852
LAbrini_01030,218.59298179512695,55.81730341543981,162.77567837968712,162.77567837968712
LAbrini_11735,203.70656830297708,41.25110847367486,162.4554598293022,162.4554598293022
LAbrini_11780,216.23128025733047,54.69467433210292,161.53660592522755,161.53660592522755
LAbrini_08140,176.77709513151026,15.292167015611486,161.48492811589878,161.48492811589878
LAbrini_09495,247.020541755734,86.57402059229533,160.44652116343866,160.44652116343866
LAbrini_16870,188.98032005262607,30.4298567691768,158.55046328344926,158.55046328344926
LAbrini_00400,200.32688096785725,44.85148991275703,155.4753910551002,155.4753910551002
LAbrini_10520,174.35709835276378,19.2847522422187,155.07234611054508,155.07234611054508
LAbrini_05895,186.47849515736488,31.492012126369843,154.98648303099503,154.98648303099503
LAbrini_09650,200.31243226465756,45.46550581831538,154.8469264463422,154.8469264463422
LAbrini_15600,193.8983372462748,39.23027795408808,154.6680592921867,154.6680592921867
LAbrini_10525,189.14314662493254,35.994301634540314,153.14884499039223,153.14884499039223
LAbrini_16465,212.45106282193493,59.60541559327405,152.84564722866088,152.84564722866088
LAbrini_18280,236.7387375611824,84.79859808694351,151.9401394742389,151.9401394742389
LAbrini_18300,164.1185809160964,12.588777142289707,151.5298037738067,151.5298037738067
LAbrini_02790,207.24170266662458,56.889031490799546,150.35267117582504,150.35267117582504
LAbrini_00735,175.14079268218148,26.219853872337644,148.92093880984385,148.92093880984385
LAbrini_09740,168.91167967108362,20.36433516210048,148.54734450898314,148.54734450898314
LAbrini_10470,163.66392522637503,15.877779951373293,147.78614527500173,147.78614527500173
LAbrini_00555,176.51431184287085,31.674658953591237,144.83965288927962,144.83965288927962
LAbrini_15555,184.84000959231795,40.79326349514614,144.04674609717182,144.04674609717182
LAbrini_11175,175.1752222023203,31.44966555849545,143.72555664382486,143.72555664382486
