,gene,num_sig_phases,max_diff
290,LAbrini_10650,4,0.5705942165
2362,LAbrini_11255,4,0.5301727599999999
1326,LAbrini_17965,4,0.5267928314999999
328,LAbrini_00790,4,0.36458386299999995
399,LAbrini_04115,4,0.2780084685
2925,LAbrini_01395,4,0.277835852
579,LAbrini_17505,4,0.27262738099999995
950,LAbrini_14725,4,0.27081226799999997
42,LAbrini_00060,4,0.26824217550000007
336,LAbrini_18475,4,0.26008383050000006
624,LAbrini_00005,4,0.257681114
3345,LAbrini_19330,4,0.24926447850000005
376,LAbrini_07945,4,0.24693921149999998
688,LAbrini_00130,4,0.24271250299999997
3053,LAbrini_01030,4,0.23437221849999995
1712,LAbrini_15475,4,0.23291150700000007
1795,LAbrini_12825,4,0.2269160125
2047,LAbrini_13760,4,0.22683342350000002
180,LAbrini_06570,4,0.225050302
722,LAbrini_04080,4,0.22403783300000002
1821,LAbrini_07760,4,0.2188745620000001
1373,LAbrini_14490,4,0.21638511099999996
1860,LAbrini_08035,4,0.21599462699999994
2805,LAbrini_16865,4,0.20789695249999995
132,LAbrini_00655,4,0.2043764655
3412,LAbrini_15595,4,0.20421749499999997
3438,LAbrini_10035,4,0.2027668615
2803,LAbrini_01315,4,0.20076923800000007
2953,LAbrini_14245,4,0.20039838450000008
2577,LAbrini_14160,4,0.1970943105
1427,LAbrini_07015,4,0.19195558949999997
3009,LAbrini_06670,4,0.19173787999999997
904,LAbrini_10055,4,0.19082819500000003
1203,LAbrini_12100,4,0.18933484350000002
127,LAbrini_01105,4,0.18889610049999997
1132,LAbrini_15085,4,0.18657722049999997
696,LAbrini_11740,4,0.1863139565
3003,LAbrini_11515,4,0.18585479450000003
1870,LAbrini_00890,4,0.18573702200000003
3393,LAbrini_04760,4,0.18368211300000004
2947,LAbrini_03585,4,0.18210486849999996
3702,LAbrini_18590,4,0.18174638000000004
3179,LAbrini_01975,4,0.18124733049999997
480,LAbrini_07550,4,0.18050616500000005
2986,LAbrini_03040,4,0.18028622300000008
3036,LAbrini_11905,4,0.1800446590000001
1584,LAbrini_01820,4,0.18000018299999998
1241,LAbrini_16935,4,0.17960952500000002
3253,LAbrini_02475,4,0.17809499349999997
954,LAbrini_14170,4,0.17727896199999998
2395,LAbrini_16670,4,0.17662834199999997
3611,LAbrini_13060,4,0.1757668155
2245,LAbrini_17630,4,0.17525516450000006
506,LAbrini_16205,4,0.174269057
381,LAbrini_02750,4,0.17128254149999997
213,LAbrini_19000,4,0.17125735699999997
3134,LAbrini_05250,4,0.1695381045
145,LAbrini_17050,4,0.168608718
3519,LAbrini_02175,4,0.168586711
2383,LAbrini_11865,4,0.16661710000000002
1143,LAbrini_03600,4,0.16638060349999995
2933,LAbrini_04420,4,0.16570861249999996
32,LAbrini_01240,4,0.16461138399999997
1476,LAbrini_10560,4,0.16160871649999997
1634,LAbrini_19100,4,0.16159271099999994
2037,LAbrini_07625,4,0.16098547549999997
3398,LAbrini_12935,4,0.16081442099999993
150,LAbrini_14960,4,0.16019762849999997
2881,LAbrini_04840,4,0.15982707799999996
1513,LAbrini_12075,4,0.15970316100000004
1411,LAbrini_00455,4,0.15941452300000003
2966,LAbrini_00170,4,0.159121621
3827,LAbrini_16120,4,0.15891279750000004
1437,LAbrini_12965,4,0.15850350500000004
3373,LAbrini_05655,4,0.1584154095
2011,LAbrini_16465,4,0.158082183
3759,LAbrini_17010,4,0.1575881765
157,LAbrini_08450,4,0.15677379599999997
1212,LAbrini_14745,4,0.1563092185
735,LAbrini_02430,4,0.15504829850000001
3787,LAbrini_10615,4,0.15501568449999997
37,LAbrini_08705,4,0.15494334350000005
12,LAbrini_15050,4,0.15455655899999998
2359,LAbrini_20170,4,0.15288283100000002
2735,LAbrini_15210,4,0.15241627800000002
1878,LAbrini_13850,4,0.15229043699999997
3213,LAbrini_12165,4,0.15223511949999996
2731,LAbrini_16810,4,0.1519695385
1426,LAbrini_01575,4,0.15172519949999996
2119,LAbrini_12960,4,0.151681473
2397,LAbrini_05060,4,0.15074065599999997
1124,LAbrini_05515,4,0.14940989699999996
441,LAbrini_05360,4,0.14915060199999997
2361,LAbrini_17860,4,0.14909587550000003
3362,LAbrini_13390,4,0.1485769985
