,gene,weighted_distance
3771,LAbrini_03870,223.78394595440352
422,LAbrini_04415,223.76737704121152
1899,LAbrini_18385,222.10815476750867
3694,LAbrini_08315,221.8815981102779
3590,LAbrini_10160,219.94542693559453
3486,LAbrini_18350,218.95338506281894
2306,LAbrini_06930,218.9100502149952
3304,LAbrini_18335,218.12907855573826
2894,LAbrini_18775,217.806831903436
2739,LAbrini_11175,217.38821011554361
3343,LAbrini_06440,216.456422703697
3702,LAbrini_18590,212.63624848327618
2231,LAbrini_15040,210.26794427269897
845,LAbrini_15565,210.13082220180462
1678,LAbrini_02425,208.20317680442682
808,LAbrini_17015,208.11939406343322
1984,LAbrini_01110,208.0132753138559
953,LAbrini_17330,206.7740505507982
2397,LAbrini_05060,206.34203215391898
2456,LAbrini_05200,206.34056137277966
2588,LAbrini_16855,204.1432072729497
278,LAbrini_08180,202.2701840644803
110,LAbrini_07495,201.814176422036
2511,LAbrini_11010,201.46853363555303
2589,LAbrini_03215,201.20919547799073
1721,LAbrini_04520,201.03662108381494
2677,LAbrini_17295,200.1179790264399
1519,LAbrini_00975,198.2362136360952
3012,LAbrini_11830,197.44371005196737
2457,LAbrini_08695,196.1453478291791
1454,LAbrini_15825,194.8856599864006
854,LAbrini_11885,194.43473336381123
819,LAbrini_12465,194.0830956159259
3200,LAbrini_09875,192.88094609502878
3241,LAbrini_13105,192.70427378557682
1095,LAbrini_05275,192.3932963185783
2924,LAbrini_01470,189.14242557882028
707,LAbrini_01835,187.64600963438627
3830,LAbrini_05525,184.13942322962274
566,LAbrini_09195,181.93729831325595
3407,LAbrini_19360,181.75834803393013
2442,LAbrini_18095,180.79612616982806
2577,LAbrini_14160,180.7393981645035
1911,LAbrini_10950,179.54409096957832
1431,LAbrini_15570,178.10011865007667
2820,LAbrini_01640,177.899456668465
686,LAbrini_20155,176.71280089219215
266,LAbrini_13830,175.09961390895228
1919,LAbrini_11735,174.78701228465175
2966,LAbrini_00170,174.64961697047778
586,LAbrini_19450,174.00933231603113
1943,LAbrini_13580,173.25428081544982
284,LAbrini_05215,172.37979112678747
1837,LAbrini_09605,172.12698871428256
2769,LAbrini_03910,172.0963118613051
1789,LAbrini_16615,172.05778971654527
1813,LAbrini_13260,171.95262846824684
1989,LAbrini_11270,171.9203644922484
2447,LAbrini_19060,171.4604569662053
328,LAbrini_00790,171.22833397530948
722,LAbrini_04080,171.0594914654202
2118,LAbrini_04935,170.9633856417891
2120,LAbrini_07500,170.93215648845177
1526,LAbrini_05185,168.59144427382418
1073,LAbrini_16130,168.3916007704709
1765,LAbrini_01840,168.08679588380275
2356,LAbrini_14250,167.48133178210753
897,LAbrini_17690,166.96692740356056
1437,LAbrini_12965,166.9016096979218
2804,LAbrini_16515,165.06337975667847
681,LAbrini_06090,164.88133051221723
2425,LAbrini_13560,164.77038973122086
1858,LAbrini_01070,164.36743358392337
2527,LAbrini_13855,163.98007001919794
1357,LAbrini_12925,161.61739243139033
2944,LAbrini_08155,161.58077707237092
1135,LAbrini_12870,160.9410530026699
1883,LAbrini_11070,160.65256240983334
2383,LAbrini_11865,159.83126188078447
3838,LAbrini_02995,159.74681796546594
3662,LAbrini_10475,159.58607146031574
1498,LAbrini_12080,158.92894775723667
3539,LAbrini_00825,157.8976444435662
3496,LAbrini_19320,155.1904774830314
785,LAbrini_09625,155.00632311544564
2334,LAbrini_04005,154.94596862551734
3331,LAbrini_12755,153.72224325553654
376,LAbrini_07945,153.61527289932076
604,LAbrini_08865,153.06757275317239
3620,LAbrini_01865,151.1065671517817
252,LAbrini_14485,150.66010728731928
2947,LAbrini_03585,150.56191276118503
356,LAbrini_18575,150.08307671862477
2312,LAbrini_03350,149.1789790542547
3368,LAbrini_01250,149.16378131660727
648,LAbrini_10320,149.05183177911113
887,LAbrini_07960,148.7514649839224
746,LAbrini_15640,148.06136286736177
3334,LAbrini_13865,148.05188886251705
3383,LAbrini_10775,148.01612939778198
2210,LAbrini_00465,147.8755721063012
3290,LAbrini_02365,147.60070338494646
811,ERCC-00144,147.57374658012313
2066,LAbrini_10670,147.01057070437173
5,LAbrini_12295,146.81236065397246
665,LAbrini_10215,145.67566322648136
2201,LAbrini_01130,145.43475760981642
1186,LAbrini_12700,144.8674314806476
1695,LAbrini_12160,144.81758875898842
2338,LAbrini_05995,144.81027607054335
2024,LAbrini_06280,144.34814624449714
2323,LAbrini_04970,144.3059219249967
3587,LAbrini_09435,144.27610754388306
1834,LAbrini_07790,144.11322247147862
3438,LAbrini_10035,143.80044420135883
3317,LAbrini_13820,143.74932450083887
2036,LAbrini_06170,143.5002129022154
2504,LAbrini_08065,143.21815803150298
1001,LAbrini_11770,142.47443509579332
1182,LAbrini_10915,141.9078566183754
74,LAbrini_10520,141.0111325366514
1259,LAbrini_15575,140.49340337605574
3295,LAbrini_19510,140.4876774241191
3836,LAbrini_19835,140.45987687440137
2079,LAbrini_17445,139.9674295598996
2390,LAbrini_17875,139.79202729431378
208,LAbrini_13485,138.16819082288015
1987,LAbrini_19015,137.57664177483997
3130,LAbrini_00965,136.49002178456044
2041,LAbrini_09495,135.73415718639214
3657,LAbrini_03845,135.04219039593508
904,LAbrini_10055,134.9612377827608
506,LAbrini_16205,134.68948485207753
535,LAbrini_01445,133.55940544115572
2243,LAbrini_07375,133.51744026285718
3648,LAbrini_07435,132.58931579022902
76,LAbrini_01545,132.05975971448495
579,LAbrini_17505,131.20421475646123
896,LAbrini_02130,130.75151106296343
216,LAbrini_04660,130.56952049582864
2909,LAbrini_14550,130.28767031714057
2009,LAbrini_00295,130.1748707133034
3322,LAbrini_12485,130.0130627258475
2006,LAbrini_06250,129.74357239556238
1756,LAbrini_07110,129.120858041331
3080,LAbrini_20045,129.04438051050127
3170,LAbrini_05870,128.7167577418629
907,LAbrini_18760,128.12231326905393
3411,LAbrini_03020,128.09922890701068
3309,LAbrini_00555,128.0683462949669
3600,LAbrini_01680,126.88971212001587
1694,LAbrini_11570,126.57031625269529
1375,LAbrini_00765,126.56273981344803
2020,LAbrini_03730,126.29840444817714
1981,LAbrini_07480,125.81927492341337
1077,LAbrini_01185,125.45776018875965
2280,LAbrini_15610,124.75989604099064
3652,LAbrini_15800,123.9079665491467
1937,LAbrini_10200,123.53191838577905
1306,LAbrini_06070,123.49688849572732
661,LAbrini_14260,123.4333506002825
81,LAbrini_03150,123.38015217024116
1328,LAbrini_12455,122.80960003973071
341,LAbrini_11365,121.81859089608517
2788,LAbrini_09095,121.61518086717787
1361,LAbrini_19025,121.15778555823171
2875,LAbrini_03595,121.03488523226484
2939,LAbrini_02945,120.82169037045605
584,LAbrini_15245,120.59600546010644
1879,LAbrini_00720,120.56443654224871
2011,LAbrini_16465,120.33363623624115
2803,LAbrini_01315,119.90222345914378
2772,LAbrini_19400,119.83984903098181
2232,LAbrini_06735,119.56052505580871
3346,LAbrini_05645,119.3194110191244
2434,LAbrini_13710,119.00898211071177
2873,LAbrini_06650,118.2625909130084
2237,LAbrini_00925,116.83323180701137
2476,LAbrini_17210,116.74260977828547
127,LAbrini_01105,116.73115752693013
3394,LAbrini_11325,116.71242292674086
1516,LAbrini_12435,116.66859393962405
2427,LAbrini_07100,116.13455404546797
1188,LAbrini_03025,115.83440274523666
2883,LAbrini_11390,115.5690679063368
685,LAbrini_05210,115.1116290476779
1525,LAbrini_15615,114.97107261529675
698,LAbrini_06710,114.37159681775694
567,LAbrini_12900,114.06061605743709
49,LAbrini_09660,113.85900276330443
1927,LAbrini_00605,113.59911743530708
2218,LAbrini_16385,113.39198644870115
425,LAbrini_18740,113.37727509319093
2230,LAbrini_18695,113.2676864866739
2544,LAbrini_19670,113.06148027132934
1267,LAbrini_05590,112.75655010027403
3618,LAbrini_01015,112.74512695421384
2657,LAbrini_11240,112.46444576676441
2714,LAbrini_12175,112.06520786299006
3490,LAbrini_00470,111.75509024165936
2013,LAbrini_02555,111.59310631557199
2047,LAbrini_13760,111.22584424466388
539,LAbrini_18230,110.60779100453583
2141,LAbrini_02145,110.0676334322081
2151,LAbrini_09315,109.92443142604387
2536,LAbrini_13575,109.6302913063278
90,LAbrini_18165,109.55531851721605
2500,LAbrini_03385,109.54175327779222
818,LAbrini_05895,109.34399435502253
2786,LAbrini_12970,109.2603845360669
1075,LAbrini_05605,108.91584025273428
2260,LAbrini_03935,107.817597424178
3641,LAbrini_19030,107.67888196742867
1191,LAbrini_06840,107.63495868801571
2438,LAbrini_16460,107.3417328620979
2825,LAbrini_13900,106.93211938029008
17,LAbrini_17155,106.73851835406228
1774,LAbrini_10250,106.38835827736372
1614,LAbrini_01580,106.24738457221585
1436,LAbrini_15655,105.47751225081066
1587,LAbrini_20070,105.40437452286331
1563,LAbrini_06530,105.04963046959325
2973,LAbrini_09995,105.02726193527401
1546,LAbrini_00770,104.4916392411544
2408,LAbrini_09820,104.25482794160835
2581,LAbrini_17240,104.18896912533556
1061,LAbrini_11730,104.18896051946312
3827,LAbrini_16120,103.96621862074595
969,LAbrini_13330,103.77362989777926
1590,LAbrini_16785,103.5526962726703
655,LAbrini_17150,103.14333299810916
1599,LAbrini_00920,102.92010757284545
941,LAbrini_06745,102.76048740328596
3707,LAbrini_12600,102.72183469045216
1093,LAbrini_07920,102.5830545235211
1068,LAbrini_09545,102.56618474394503
864,LAbrini_01690,102.4225460845395
1433,LAbrini_14005,101.90516055603513
1570,LAbrini_01325,101.8660303569863
2208,LAbrini_13100,101.69746131479928
1269,LAbrini_07395,101.4510723730425
2346,LAbrini_14185,101.37379687337521
898,LAbrini_04695,101.31562914281984
1554,LAbrini_15625,101.20829336407445
975,LAbrini_07740,100.40744379717228
2301,LAbrini_19115,100.32743780895751
658,LAbrini_07815,100.18855348635138
95,LAbrini_01845,100.11659074711227
1849,LAbrini_06605,99.71459434488072
1335,LAbrini_14820,99.27949789125701
2235,LAbrini_06815,99.2785373307017
865,LAbrini_04725,99.12533963665837
1869,LAbrini_18205,98.82882935450888
1688,LAbrini_14740,98.75487142257732
1671,LAbrini_04965,98.27477450252215
3287,LAbrini_14975,97.99715062210838
2149,LAbrini_16475,97.71735204390703
1961,LAbrini_16660,97.45639598803669
1505,LAbrini_12340,97.44924236570317
3345,LAbrini_19330,97.43367520444014
909,LAbrini_06790,97.14638481714582
1798,LAbrini_12560,97.08702384251688
1392,LAbrini_01685,96.9656703192562
1805,LAbrini_10145,96.63865727265532
2200,LAbrini_04680,96.60339102353522
120,LAbrini_16750,96.25646707781445
3736,LAbrini_16125,95.93955839998587
1633,LAbrini_00515,95.38228470837589
691,LAbrini_04870,95.0620643427061
2234,LAbrini_15955,94.91804733157844
3119,LAbrini_13000,94.8845133327281
2007,LAbrini_19230,94.74964275098232
1650,LAbrini_10910,94.58493051141994
2359,LAbrini_20170,94.44254441933528
3745,LAbrini_01305,94.26553487462402
2704,LAbrini_02320,94.16329886615294
2735,LAbrini_15210,93.98624572044953
2448,LAbrini_09730,93.97737934388685
419,LAbrini_07845,93.81251591518057
1594,LAbrini_10695,93.73792950725604
61,LAbrini_18535,93.66170455080041
2925,LAbrini_01395,93.44263536392278
2821,LAbrini_10470,93.43394806429747
3307,LAbrini_02285,93.41178899905728
1184,LAbrini_06730,93.39819620756889
3470,LAbrini_10175,93.2169359873232
3701,LAbrini_13490,92.74272494413509
1035,LAbrini_03855,92.55722803527604
3581,LAbrini_04130,92.47929301536536
3227,LAbrini_12655,92.4102243832522
37,LAbrini_08705,92.23594962331678
1132,LAbrini_15085,91.97444098527406
1256,ERCC-00162,91.2026928651206
1149,LAbrini_12910,91.00187799971255
1117,LAbrini_15015,90.89502640005745
225,LAbrini_14165,90.41460695680678
1838,LAbrini_10420,90.40111836532193
1616,LAbrini_12260,90.35701750061708
528,LAbrini_07190,90.32110616248886
2982,LAbrini_10150,90.1442893612719
789,LAbrini_02135,89.63924612818323
3428,LAbrini_08845,89.56817466359932
2896,LAbrini_18375,89.53949337548768
1123,LAbrini_03965,89.51689139554287
669,LAbrini_03760,89.51503122409605
2239,LAbrini_17085,89.5136874279359
2019,LAbrini_02350,89.00068107170296
1378,LAbrini_09645,88.80468073207837
1026,LAbrini_05640,88.75529004853661
458,LAbrini_00420,88.44912470641746
862,LAbrini_08735,88.24806131665115
1128,LAbrini_05535,87.95065469780661
1163,LAbrini_11800,87.93265605740194
2549,LAbrini_04775,87.81871178748122
687,LAbrini_07425,87.7993507623609
663,LAbrini_12440,87.69583283367643
1483,LAbrini_06780,87.64272839606097
1429,LAbrini_19020,87.3961393384425
2302,LAbrini_00025,87.38301790319753
2635,LAbrini_12790,87.2799377505148
3766,LAbrini_04170,87.17403890079652
1010,LAbrini_10675,87.10020883119103
3507,LAbrini_05580,86.4344064236285
1680,LAbrini_18125,86.04276335500168
3030,LAbrini_07675,85.99942469245656
3819,LAbrini_16345,85.93872327016433
3155,LAbrini_14320,85.85544912008754
1836,LAbrini_08945,85.66531701379813
2414,LAbrini_12845,85.38724086136301
464,LAbrini_00755,85.35421267074265
966,LAbrini_12710,85.30122750130275
2809,LAbrini_09535,85.27696078185849
799,LAbrini_10490,85.19810960262734
599,LAbrini_11925,85.01390684324926
3514,LAbrini_01010,84.97474136992433
3709,LAbrini_17935,84.89193303293818
2759,LAbrini_03785,84.80716633276903
3111,LAbrini_17740,84.60496924362202
3777,LAbrini_17530,84.51995436814622
2673,LAbrini_13115,84.38835384993975
2816,LAbrini_19985,84.36972864110378
3401,LAbrini_16025,84.34375035599423
748,LAbrini_10435,84.33268653320462
3574,LAbrini_13970,84.22206097977107
1098,LAbrini_12580,84.07701687698898
2653,LAbrini_05345,83.6976810240975
3429,LAbrini_11680,83.62815972921578
1190,LAbrini_17270,83.339760329873
246,LAbrini_04390,83.28775344255837
1619,LAbrini_16870,83.19911707649041
451,LAbrini_12570,83.08977236264406
3740,LAbrini_13995,83.00522048194026
3455,LAbrini_14630,82.85229914395237
2136,LAbrini_10165,82.79742642508022
1997,LAbrini_00140,82.72059592663902
1295,LAbrini_12625,82.5670355407805
409,LAbrini_05780,82.34895704745949
3565,LAbrini_16510,82.29535958271052
2703,LAbrini_02465,82.1483881009236
1024,LAbrini_18180,82.07069542216647
1557,LAbrini_02670,82.01598063790198
1915,LAbrini_07225,81.92023976677201
1097,LAbrini_19525,81.9141391826586
24,LAbrini_08645,81.88723233368121
2172,LAbrini_11860,81.80075470618033
2223,LAbrini_13775,81.70090733873793
2991,LAbrini_01230,81.6329938266383
3194,LAbrini_07250,81.2931755062038
164,LAbrini_06625,81.02934191287017
2612,LAbrini_13905,80.8304570862847
1476,LAbrini_10560,80.63948399337566
3820,LAbrini_15700,80.51223181594244
2165,LAbrini_05035,80.33059748894138
501,LAbrini_08780,80.20972417791528
1231,LAbrini_09275,79.76936743472224
1119,LAbrini_14780,79.42114104076194
3094,LAbrini_12780,79.36057552789433
491,LAbrini_15485,79.34808731133802
2731,LAbrini_16810,79.18306317951132
3544,LAbrini_02180,79.15532973381909
3274,LAbrini_13210,79.13124407318473
776,LAbrini_04655,79.04564770049657
3120,LAbrini_19280,78.72593884804266
1118,LAbrini_15855,78.58815595454006
2712,LAbrini_14275,78.44720448435608
2256,LAbrini_12385,78.3528177618854
2305,LAbrini_08790,78.30783130596068
2168,LAbrini_09225,78.21278882600896
3683,LAbrini_06285,78.19944499707098
335,LAbrini_19210,78.16734802546011
1571,LAbrini_15135,78.12731546624168
1864,LAbrini_11225,78.0896492221622
699,LAbrini_00870,77.89227334320344
386,LAbrini_04410,77.86408215373348
1615,LAbrini_08975,77.73726883388501
2716,LAbrini_10595,77.58419411535867
3457,LAbrini_04210,77.07823006679195
2152,LAbrini_00915,76.87088525887849
2789,LAbrini_07465,76.79222047406992
1373,LAbrini_14490,76.65079070100643
48,LAbrini_17755,76.58286126454547
792,LAbrini_01265,76.53409618520273
2942,LAbrini_07755,76.39840756144285
3371,LAbrini_03645,76.35474513206466
696,LAbrini_11740,76.22758874727589
2034,LAbrini_10640,76.2049567187213
3731,LAbrini_16230,76.14307798701225
2119,LAbrini_12960,75.84227604748352
3358,LAbrini_09690,75.72184334550505
2131,LAbrini_04875,75.6395640374469
2202,LAbrini_02220,75.54394726747222
1168,LAbrini_08530,75.54137732124468
2441,LAbrini_01465,75.48645210543403
1199,LAbrini_16600,75.31785947664244
2072,LAbrini_18305,75.14575453820117
3201,LAbrini_04550,75.06488926363114
1606,LAbrini_17865,75.05937364533119
2155,LAbrini_05380,75.03831293253172
3577,LAbrini_08610,74.99226473302568
171,LAbrini_05465,74.86332040927437
3040,LAbrini_15005,74.84770874815618
3693,LAbrini_18015,74.7704012058826
418,LAbrini_19390,74.71730858600013
1881,LAbrini_04375,74.66705176850829
2217,LAbrini_07705,74.44087972080152
2763,LAbrini_13885,74.30827042861098
1819,LAbrini_04715,74.26740955265619
3466,LAbrini_07300,74.1858409865439
403,LAbrini_09520,74.1591148648719
3512,LAbrini_03455,73.99193769632643
646,LAbrini_02665,73.84995805004071
306,LAbrini_03930,73.57288307523098
2861,LAbrini_02270,73.53394855024825
1372,LAbrini_02200,73.0821088486339
1692,LAbrini_00495,73.07062809348292
1905,LAbrini_06225,73.00740406154557
3151,LAbrini_02990,72.96906026522538
2385,LAbrini_12750,72.73975388077397
2981,LAbrini_03545,72.66436457231191
3311,LAbrini_16520,72.63935929837793
502,LAbrini_16360,72.58874602749705
2180,LAbrini_17515,72.4924157954546
213,LAbrini_19000,72.41225101516454
3519,LAbrini_02175,72.37778838652112
2443,LAbrini_15175,72.25618787750362
1957,LAbrini_01695,72.17494234171743
1472,LAbrini_15830,72.1367950539187
219,LAbrini_01850,72.01660772176086
3616,LAbrini_16690,71.90768808016469
1674,LAbrini_13230,71.77656002368843
3349,LAbrini_03500,71.64116575958359
3788,LAbrini_10550,71.53448873750486
1142,LAbrini_08505,71.33172367753195
3305,LAbrini_10450,71.18130472553203
1122,LAbrini_09610,71.13447719021354
556,LAbrini_06690,71.06785999084741
3390,LAbrini_14680,71.0351300960234
1079,LAbrini_09805,71.03276029596806
55,LAbrini_18425,70.90900483528802
3711,LAbrini_12605,70.78659011181416
3014,LAbrini_12850,70.64538537521881
1092,LAbrini_05385,70.53996606675796
2236,LAbrini_03420,70.08660604349265
3649,LAbrini_12930,70.0629985712924
27,LAbrini_08090,69.93537383666343
2154,LAbrini_02160,69.6251488416948
285,LAbrini_01795,69.54682401558539
3596,LAbrini_09565,69.52408482542343
1485,LAbrini_01085,69.32443360254396
89,LAbrini_16675,69.12585716774714
1146,LAbrini_12640,69.0790289516272
2858,LAbrini_10030,69.06267657835512
